AMWD,20101105,19.58,19.98,19.38,19.61,19100
AMZN,20101105,169.35,171.65,168.59,170.77,5218600
ANAD,20101105,6.03,6.11,5.87,5.93,1029700
ANAT,20101105,82.77,83.89,81.72,83.88,8000
ANCI,20101105,1.55,1.6,1.55,1.6,24900
ANCX,20101105,6.44,6.5,6.27,6.5,11000
ANDE,20101105,37.91,38.14,36.39,36.47,300800
ANDS,20101105,1.29,1.35,1.28,1.29,1893800
ANEN,20101105,17.85,17.93,17.69,17.87,21500
ANGN,20101105,4.11,4.36,4.1,4.31,2700
ANGO,20101105,14.41,14.49,14.32,14.44,136300
ANIK,20101105,6.82,6.98,6.74,6.98,11100
ANLY,20101105,1.8,2.34,1.8,2.19,76500
ANNB,20101105,3.95,3.98,3.95,3.98,1900
ANPI,20101105,0.3,0.3,0.27,0.28,871700
ANSS,20101105,45.73,46.13,45.67,46.06,886600
ANSW,20101105,6.32,6.97,6.29,6.97,72100
ANTH,20101105,5.26,5.34,4.89,5.34,955700
ANTP,20101105,5.3,5.42,5.3,5.4,24600
AONE,20101105,9.31,9.98,9.29,9.96,2475200
AOSL,20101105,11.67,11.68,11.3,11.68,259300
APAC,20101105,6.45,6.5,6.38,6.46,159300
APAGF,20101105,37.98,38.24,37.57,37.89,10600
APCVZ,20101105,0.04,0.04,0.03,0.04,4022300
APEI,20101105,27.35,27.48,26.52,26.75,336700
APFC,20101105,6,6.23,5.98,6.18,15500
APKT,20101105,41.95,42.2,41.5,41.8,737000
APOG,20101105,11.91,12.05,11.86,12.05,192900
APOL,20101105,35.36,37,35.26,35.73,5530300
APPA,20101105,0.72,0.75,0.68,0.74,105000
APPY,20101105,0.5,0.51,0.45,0.48,193400
APRI,20101105,1.74,1.79,1.68,1.77,61500
APSA,20101105,11.29,11.6,11.29,11.5,3200
APSG,20101105,32.93,33.14,32.85,32.94,66500
APWR,20101105,7.47,7.6,7.42,7.58,429000
ARAY,20101105,6.85,7,6.82,6.89,428100
ARBA,20101105,19.8,19.85,19.63,19.77,533500
ARBX,20101105,6.28,7.01,6.18,6.98,4700
ARCC,20101105,16.97,17.24,16.89,17.24,2051600
ARCI,20101105,3.26,3.55,3.25,3.45,7000
ARCL,20101105,10.47,10.48,10.14,10.42,10900
ARCW,20101105,2.63,2.63,2.63,2.63,200
AREX,20101105,15.56,15.76,15.4,15.69,193500
ARGN,20101105,11.52,11.55,11.33,11.35,129400
ARIA,20101105,3.77,3.81,3.71,3.76,1110000
ARII,20101105,16.77,16.77,16.04,16.13,61700
ARKR,20101105,14.53,14.85,14.5,14.82,6200
ARLP,20101105,60.71,61,59.27,59.97,103200
ARMH,20101105,17.02,17.26,16.97,17.26,3455200
ARNA,20101105,1.52,1.55,1.5,1.55,2428900
AROW,20101105,27,27,26.45,26.59,29300
ARQL,20101105,5.59,5.69,5.55,5.6,113200
ARRS,20101105,10.1,10.15,9.96,10.13,1353300
ARRY,20101105,3.53,3.6,3.43,3.43,168600
ARSD,20101105,2.74,2.85,2.6,2.82,9900
ARTC,20101105,28.09,28.68,27.92,28.47,475500
ARTG,20101105,5.97,5.98,5.96,5.97,8171300
ARTNA,20101105,19.23,19.44,19.11,19.33,5200
ARTW,20101105,9.86,10.24,9.6,9.9,26700
ARTX,20101105,2,2.04,1.86,2.02,37400
ARUN,20101105,23.41,23.64,22.97,23.13,1320100
ARWR,20101105,0.98,0.98,0.92,0.93,158100
ARYX,20101105,0.44,0.44,0.39,0.43,152400
ASBC,20101105,13.26,13.84,13.22,13.52,1326600
ASBI,20101105,3.98,3.98,3.98,3.98,100
ASCA,20101105,19.04,19.23,18.55,18.58,185000
ASCMA,20101105,29.15,29.58,28.99,29.47,55500
ASEI,20101105,83.04,83.39,81.02,82.03,70800
ASFI,20101105,8.52,8.54,8.35,8.44,15000
ASFN,20101105,1,1,0.9,0.95,22200
ASGN,20101105,6.49,6.93,6.39,6.86,168100
ASGR,20101105,16.78,16.88,16.65,16.85,17200
ASIA,20101105,20.84,20.97,20.35,20.46,721300
ASMI,20101105,25.86,26.16,25.78,26.08,86200
